"name"	"taxRank"	"taxID"	"Max"	"C001_FD2.cladeReads"	"C001_FD3.cladeReads"	"C001_L.3.cladeReads"	"C001_L.44.cladeReads"	"C001_L.92.cladeReads"	"C001_R.1.cladeReads"	"C001_R.45.cladeReads"	"C001_R.82.cladeReads"	"C002_FD2.cladeReads"	"C002_FD3.cladeReads"	"C002_L.3.cladeReads"	"C002_L.44.cladeReads"	"C002_L.92.cladeReads"	"C002_R.1.cladeReads"	"C002_R.45.cladeReads"	"C002_R.82.cladeReads"	"C003_FD2.cladeReads"	"C003_FD3.cladeReads"	"C003_L.3.cladeReads"	"C003_L.44.cladeReads"	"C003_L.92.cladeReads"	"C003_R.45.cladeReads"	"C003_R.82.cladeReads"	"C004_FD2.cladeReads"	"C004_FD3.cladeReads"	"C004_L.3.cladeReads"	"C004_L.44.cladeReads"	"C004_L.92.cladeReads"	"C004_R.1.cladeReads"	"C004_R.45.cladeReads"	"C004_R.82.cladeReads"	"lineage"
"unclassified Neorhizobium"	"-"	2629175	139	NA	NA	80	NA	NA	NA	NA	NA	33	1	NA	10	NA	NA	NA	NA	NA	NA	59	NA	11	NA	NA	18	NA	NA	67	139	13	1	1	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Neorhizobium"
"Neorhizobium sp. SOG26"	"S"	2060726	139	NA	NA	80	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	11	NA	NA	1	NA	NA	44	139	13	NA	1	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Neorhizobium>unclassified&nbsp;Neorhizobium"
"Neorhizobium galegae"	"S"	399	403	NA	NA	22	4	25	NA	3	5	NA	72	NA	2	16	6	22	6	11	NA	403	42	NA	NA	NA	NA	15	NA	38	22	8	22	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Neorhizobium"
"Neorhizobium petrolearium"	"S"	515361	1975	NA	NA	18	NA	NA	1	NA	14	NA	46	NA	NA	NA	NA	2	NA	NA	NA	1975	NA	NA	NA	NA	1	NA	NA	1	5	NA	NA	4	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Neorhizobium"
"Shinella sp. PSBB067"	"S"	2715959	281	NA	NA	96	1	30	NA	NA	1	NA	NA	NA	NA	NA	21	NA	NA	22	1	281	28	20	NA	8	114	NA	NA	29	165	NA	3	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Rhizobiaceae>Shinella>unclassified&nbsp;Shinella"
"Shinella sp. H4-D48"	"S"	2925841	136	NA	NA	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	NA	NA	NA	NA	136	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Rhizobiaceae>Shinella>unclassified&nbsp;Shinella"
"Shinella sumterensis"	"S"	1967501	16006	NA	NA	53	NA	32	NA	NA	23	NA	84	NA	17	NA	6	NA	NA	5	NA	16006	NA	8	NA	NA	1	NA	NA	NA	14	14	7	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Rhizobiaceae>Shinella"
"Ensifer canadensis"	"S"	555315	13	NA	NA	13	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Rhizobiaceae>Sinorhizobium/Ensifer&nbsp;group>Ensifer"
"Sinorhizobium sp. BG8"	"S"	2613773	9	NA	NA	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Rhizobiaceae>Sinorhizobium/Ensifer&nbsp;group>Sinorhizobium>unclassified&nbsp;Sinorhizobium"
"Sinorhizobium medicae"	"S"	110321	394	NA	NA	20	NA	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	394	NA	NA	NA	6	39	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Rhizobiaceae>Sinorhizobium/Ensifer&nbsp;group>Sinorhizobium"
"Sinorhizobium meliloti AK83"	"-"	693982	2	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Rhizobiaceae>Sinorhizobium/Ensifer&nbsp;group>Sinorhizobium>Sinorhizobium&nbsp;meliloti"
"Sinorhizobium alkalisoli"	"S"	1752398	31	NA	NA	16	NA	3	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	1	NA	31	NA	NA	NA	NA	NA	NA	NA	8	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Rhizobiaceae>Sinorhizobium/Ensifer&nbsp;group>Sinorhizobium"
"Sinorhizobium fredii CCBAU 83666"	"-"	1128334	14	NA	NA	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Rhizobiaceae>Sinorhizobium/Ensifer&nbsp;group>Sinorhizobium>Sinorhizobium&nbsp;fredii&nbsp;group>Sinorhizobium&nbsp;fredii"
"Sinorhizobium chiapasense"	"S"	501572	188	NA	NA	1	NA	25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	188	NA	6	NA	3	2	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Rhizobiaceae>Sinorhizobium/Ensifer&nbsp;group>Sinorhizobium"
"Sinorhizobium sojae><wbr>Sinorhizobium sojae CCBAU 05684"	"-"	716928	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Rhizobiaceae>Sinorhizobium/Ensifer&nbsp;group>Sinorhizobium>Sinorhizobium&nbsp;sojae"
"Ciceribacter><wbr>Ciceribacter thiooxidans"	"S"	1969821	85	NA	NA	26	9	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	85	9	NA	NA	55	NA	NA	NA	NA	44	NA	NA	NA	NA	17	6	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Rhizobiaceae>Ciceribacter"
"Microvirga ossetica"	"S"	1882682	346	NA	NA	112	NA	10	25	1	NA	47	3	NA	11	30	NA	NA	NA	NA	3	346	NA	5	4	125	24	58	NA	8	NA	16	22	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Methylobacteriaceae>Microvirga"
"Microvirga terrae"	"S"	2740529	299	NA	NA	83	NA	NA	NA	NA	NA	35	NA	NA	11	NA	NA	NA	NA	31	NA	139	NA	NA	4	NA	299	NA	NA	NA	NA	NA	NA	3	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Methylobacteriaceae>Microvirga"
"Pseudochrobactrum sp. Wa41.01b-1"	"S"	2864102	162	NA	NA	162	NA	53	NA	NA	NA	NA	158	NA	NA	NA	31	NA	NA	NA	5	31	NA	14	1	NA	10	NA	NA	35	10	NA	3	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Brucellaceae>Pseudochrobactrum>unclassified&nbsp;Pseudochrobactrum"
"Brucella sp. MAB-22"	"S"	2986424	104	NA	NA	85	5	NA	15	NA	NA	NA	NA	22	NA	NA	NA	NA	3	NA	3	104	1	36	NA	6	92	NA	15	29	37	NA	4	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Brucellaceae>Brucella/Ochrobactrum&nbsp;group>Brucella>unclassified&nbsp;Brucella"
"Brucella sp. NM4"	"S"	3045175	1861	NA	NA	40	NA	NA	NA	5	NA	40	NA	NA	3	NA	NA	26	NA	NA	1	1861	67	54	2	NA	NA	NA	NA	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Brucellaceae>Brucella/Ochrobactrum&nbsp;group>Brucella>unclassified&nbsp;Brucella"
"Brucella sp. 6810"	"S"	2769351	52	NA	NA	25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Brucellaceae>Brucella/Ochrobactrum&nbsp;group>Brucella>unclassified&nbsp;Brucella"
"Brucella sp. bbatCR03"	"S"	2942452	5	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Brucellaceae>Brucella/Ochrobactrum&nbsp;group>Brucella>unclassified&nbsp;Brucella"
"Brucella pituitosa"	"S"	571256	12998	NA	NA	27	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	11	NA	NA	12998	NA	NA	NA	5	NA	3	NA	NA	NA	15	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Brucellaceae>Brucella/Ochrobactrum&nbsp;group>Brucella"
"[Ochrobactrum] quorumnocens"	"S"	271865	374	NA	NA	7	NA	NA	NA	NA	18	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	374	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Brucellaceae>Brucella/Ochrobactrum&nbsp;group>Brucella"
"Brucella melitensis NI"	"-"	1029825	6	NA	NA	5	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Brucellaceae>Brucella/Ochrobactrum&nbsp;group>Brucella>Brucella&nbsp;melitensis"
"Brucella pseudintermedia"	"S"	370111	431	NA	NA	2	1	NA	NA	NA	NA	NA	NA	NA	28	NA	NA	NA	NA	NA	NA	431	NA	53	NA	12	NA	NA	NA	12	NA	20	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Brucellaceae>Brucella/Ochrobactrum&nbsp;group>Brucella"
"Brucella suis"	"S"	29461	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Brucellaceae>Brucella/Ochrobactrum&nbsp;group>Brucella"
"Bradyrhizobium sp. NDS-1"	"S"	3080014	394	NA	NA	21	NA	15	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	394	NA	NA	3	NA	NA	32	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Nitrobacteraceae>Bradyrhizobium>unclassified&nbsp;Bradyrhizobium"
"Bradyrhizobium sp. ORS 278"	"S"	114615	173	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	107	NA	NA	NA	NA	173	1	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Nitrobacteraceae>Bradyrhizobium>unclassified&nbsp;Bradyrhizobium"
"Bradyrhizobium sp. 191"	"S"	2782659	750	NA	NA	1	NA	NA	NA	NA	30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	750	26	NA	NA	6	71	1	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Nitrobacteraceae>Bradyrhizobium>unclassified&nbsp;Bradyrhizobium"
"Bradyrhizobium erythrophlei"	"S"	1437360	612	NA	NA	26	25	4	NA	11	10	NA	66	46	NA	20	NA	NA	2	1	NA	612	77	NA	1	2	57	18	21	10	2	19	9	1	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Nitrobacteraceae>Bradyrhizobium"
"Bradyrhizobium zhanjiangense"	"S"	1325107	7	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Nitrobacteraceae>Bradyrhizobium"
"Bradyrhizobium yuanmingense"	"S"	108015	500	NA	NA	1	NA	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	500	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Nitrobacteraceae>Bradyrhizobium"
"Tardiphaga sp. 42S5"	"S"	1404799	200	NA	NA	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	200	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Nitrobacteraceae>Tardiphaga>unclassified&nbsp;Tardiphaga"
"Mesorhizobium sp. NBSH29"	"S"	2654249	124	NA	NA	41	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	3	NA	NA	NA	NA	124	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Phyllobacteriaceae>Mesorhizobium>unclassified&nbsp;Mesorhizobium"
"Mesorhizobium sp. 131-2-1"	"S"	2744518	22	NA	NA	17	19	NA	NA	NA	NA	NA	1	NA	NA	NA	9	NA	NA	20	1	NA	NA	NA	NA	NA	NA	NA	NA	22	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Phyllobacteriaceae>Mesorhizobium>unclassified&nbsp;Mesorhizobium"
"Mesorhizobium sp. 113-1-2"	"S"	2744515	10	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Phyllobacteriaceae>Mesorhizobium>unclassified&nbsp;Mesorhizobium"
"Mesorhizobium sp. AR10"	"S"	2865839	4	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Phyllobacteriaceae>Mesorhizobium>unclassified&nbsp;Mesorhizobium"
"Mesorhizobium huakuii"	"S"	28104	25	NA	NA	25	NA	NA	NA	NA	14	NA	NA	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Phyllobacteriaceae>Mesorhizobium"
"Mesorhizobium japonicum"	"S"	2066070	101	NA	NA	24	3	3	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	101	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Phyllobacteriaceae>Mesorhizobium"
"Mesorhizobium erdmanii"	"S"	1777866	34	NA	NA	23	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Phyllobacteriaceae>Mesorhizobium"
"Mesorhizobium ciceri><wbr>Mesorhizobium ciceri biovar biserrulae"	"-"	278148	165	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	165	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Phyllobacteriaceae>Mesorhizobium>Mesorhizobium&nbsp;ciceri"
"Nitratireductor mangrovi"	"S"	2599600	92	NA	NA	46	NA	NA	NA	NA	NA	NA	1	NA	NA	34	1	NA	NA	NA	NA	92	NA	NA	1	NA	6	NA	NA	46	NA	NA	NA	2	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Phyllobacteriaceae>Nitratireductor"
"unclassified Nitratireductor"	"-"	2641084	62	NA	NA	12	NA	NA	NA	NA	15	NA	NA	NA	NA	NA	62	NA	2	NA	3	NA	NA	14	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Phyllobacteriaceae>Nitratireductor"
"Nitratireductor sp. GZWM139"	"S"	2950541	9	NA	NA	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Phyllobacteriaceae>Nitratireductor>unclassified&nbsp;Nitratireductor"
"Aminobacter niigataensis"	"S"	83265	156	NA	NA	13	NA	13	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	156	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Phyllobacteriaceae>Aminobacter"
"Aminobacter aminovorans"	"S"	83263	111	NA	NA	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Phyllobacteriaceae>Aminobacter"
"Phyllobacterium sp. T1018"	"S"	555316	33	NA	NA	13	3	NA	NA	NA	NA	33	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	4	NA	17	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Phyllobacteriaceae>Phyllobacterium>unclassified&nbsp;Phyllobacterium"
"Aureimonas sp. AU12"	"S"	1638161	222	NA	NA	53	NA	NA	38	10	222	NA	NA	NA	10	NA	5	NA	1	NA	NA	NA	NA	NA	16	43	94	8	NA	NA	NA	55	34	3	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Aurantimonadaceae>Aureimonas>unclassified&nbsp;Aureimonas"
"Aureimonas altamirensis"	"S"	370622	197	NA	NA	125	20	11	NA	NA	6	NA	NA	NA	12	NA	38	NA	5	NA	NA	197	NA	38	NA	NA	88	NA	NA	26	NA	24	3	8	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Aurantimonadaceae>Aureimonas"
"unclassified Martelella"	"-"	2629616	499	NA	NA	26	NA	NA	NA	2	NA	NA	NA	56	4	NA	NA	NA	NA	NA	NA	499	NA	12	1	NA	79	NA	13	NA	NA	7	NA	1	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Aurantimonadaceae>Martelella"
"Martelella sp. AD-3"	"S"	686597	270	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	270	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Aurantimonadaceae>Martelella>unclassified&nbsp;Martelella"
"Martelella endophytica"	"S"	1486262	46	NA	NA	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	46	NA	NA	NA	14	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Aurantimonadaceae>Martelella"
"environmental samples><wbr>uncultured Martelella sp."	"S"	392331	7	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	1	2	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Aurantimonadaceae>Martelella>environmental&nbsp;samples"
"Aurantimonas><wbr>unclassified Aurantimonas><wbr>Aurantimonas sp. HBX-1"	"S"	2906072	148	NA	NA	21	6	62	NA	3	6	NA	148	NA	28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	1	13	46	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Aurantimonadaceae>Aurantimonas>unclassified&nbsp;Aurantimonas"
"Devosia sp. SD17-2"	"S"	2976459	65	NA	NA	65	NA	13	5	NA	NA	2	NA	NA	NA	29	NA	NA	NA	NA	NA	NA	NA	13	6	4	NA	NA	NA	NA	NA	31	1	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Devosiaceae>Devosia>unclassified&nbsp;Devosia"
"Devosia sp. XK-2"	"S"	3126689	55	NA	NA	35	9	NA	NA	NA	NA	NA	27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	55	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Devosiaceae>Devosia>unclassified&nbsp;Devosia"
"Devosia oryziradicis"	"S"	2801335	40	NA	NA	21	17	NA	NA	NA	NA	28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	40	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Devosiaceae>Devosia"
"Devosia rhodophyticola"	"S"	3026423	100	NA	NA	11	NA	NA	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	41	NA	2	2	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Devosiaceae>Devosia"
"Pelagibacterium sp. 26DY04"	"S"	2967130	95	NA	NA	12	NA	NA	NA	NA	NA	NA	95	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17	NA	NA	3	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Devosiaceae>Pelagibacterium>unclassified&nbsp;Pelagibacterium"
"Pelagibacterium sp. H642"	"S"	1881069	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Devosiaceae>Pelagibacterium>unclassified&nbsp;Pelagibacterium"
"Pelagibacterium flavum"	"S"	2984530	79	NA	NA	23	14	NA	NA	1	NA	NA	79	NA	NA	NA	13	NA	NA	NA	NA	20	NA	NA	NA	NA	NA	NA	NA	NA	38	NA	NA	3	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Devosiaceae>Pelagibacterium"
"Pelagibacterium halotolerans"	"S"	531813	47	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	3	47	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Devosiaceae>Pelagibacterium"
"Paradevosia><wbr>Paradevosia shaoguanensis"	"S"	1335043	152	NA	NA	53	NA	NA	NA	3	NA	NA	114	NA	NA	NA	5	NA	NA	13	NA	152	NA	NA	NA	NA	NA	NA	NA	NA	105	32	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Devosiaceae>Paradevosia"
"Bosea sp. 685"	"S"	3080057	79	NA	NA	30	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	12	NA	NA	NA	NA	79	NA	NA	NA	NA	31	NA	NA	NA	1	NA	NA	3	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Boseaceae>Bosea>unclassified&nbsp;Bosea&nbsp;(in:&nbsp;a&#x2011;proteobacteria)"
"Bosea sp. RAC05"	"S"	1842539	111	NA	NA	29	NA	NA	NA	NA	74	53	NA	NA	11	21	27	NA	NA	NA	2	111	NA	NA	NA	7	NA	NA	NA	NA	75	NA	7	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Boseaceae>Bosea>unclassified&nbsp;Bosea&nbsp;(in:&nbsp;a&#x2011;proteobacteria)"
