"","species","genus","family","order","class","phylum","superkingdom","no rank"
"11881","Chryseobacterium aureum","Chryseobacterium","Chryseobacterium group","Weeksellaceae","Flavobacteriales","Flavobacteriia","Bacteroidota","Bacteria"
"11882","Billgrantia tianxiuensis","Billgrantia","Halomonadaceae","Oceanospirillales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"11883","Janthinobacterium sp. 17J80-10","unclassified Janthinobacterium","Janthinobacterium","Oxalobacteraceae","Burkholderiales","Betaproteobacteria","Pseudomonadota","Bacteria"
"11884","Enterobacter chuandaensis","Enterobacter","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"11885","Colwellia sp. Arc7-635","unclassified Colwellia","Colwellia","Colwelliaceae","Alteromonadales","Gammaproteobacteria","Pseudomonadota","Bacteria"
"11886","Limnobaculum zhutongyuii","Limnobaculum","Budviciaceae","Enterobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"11887","Streptomonospora litoralis","Streptomonospora","Nocardiopsaceae","Streptosporangiales","Actinomycetes","Actinomycetota","Bacteria","cellular organisms"
"11888","Rheinheimera mangrovi","Rheinheimera","Chromatiaceae","Chromatiales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"11889","Rhodomicrobium lacus","Rhodomicrobium","Hyphomicrobiaceae","Hyphomicrobiales","Alphaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"11890","Pseudomonas sp. MPC6","unclassified Pseudomonas","Pseudomonas","Pseudomonadaceae","Pseudomonadales","Gammaproteobacteria","Pseudomonadota","Bacteria"
"11891","Devosia sp. 1566","unclassified Devosia","Devosia","Devosiaceae","Hyphomicrobiales","Alphaproteobacteria","Pseudomonadota","Bacteria"
"11892","Silvanigrella paludirubra","Silvanigrella","Silvanigrellaceae","Silvanigrellales","Oligoflexia","Bdellovibrionota","Bacteria","cellular organisms"
"11893","Caaingua virus","Alphavirus","Togaviridae","Martellivirales","Alsuviricetes","Kitrinoviricota","Viruses","0"
"11894","Muarterivirus afrigant","Muarterivirus","Arteriviridae","Nidovirales","Pisoniviricetes","Pisuviricota","Viruses","0"
"11895","Alphaarterivirus equid","Alphaarterivirus","Arteriviridae","Nidovirales","Pisoniviricetes","Pisuviricota","Viruses","0"
"11896","Lambdaarterivirus afriporav","Lambdaarterivirus","Arteriviridae","Nidovirales","Pisoniviricetes","Pisuviricota","Viruses","0"
"11897","Deltaarterivirus hemfev","Deltaarterivirus","Arteriviridae","Nidovirales","Pisoniviricetes","Pisuviricota","Viruses","0"
"11898","Stemphylium lycopersici mycovirus","unclassified Alternavirus","Alternavirus","Alternaviridae","Ghabrivirales","Chrymotiviricetes","Duplornaviricota","Viruses"
"11899","Kappaarterivirus wobum","Kappaarterivirus","Arteriviridae","Nidovirales","Pisoniviricetes","Pisuviricota","Viruses","0"
"11900","Gammaarterivirus lacdeh","Gammaarterivirus","Arteriviridae","Nidovirales","Pisoniviricetes","Pisuviricota","Viruses","0"
"11901","Betaarterivirus suid 1","Betaarterivirus","Arteriviridae","Nidovirales","Pisoniviricetes","Pisuviricota","Viruses","0"
"11902","Betaarterivirus suid 2","Betaarterivirus","Arteriviridae","Nidovirales","Pisoniviricetes","Pisuviricota","Viruses","0"
"11903","Niallia taxi","Niallia","Bacillaceae","Bacillales","Bacilli","Bacillota","Bacteria","cellular organisms"
"11904","Betaarterivirus chinrav 1","Betaarterivirus","Arteriviridae","Nidovirales","Pisoniviricetes","Pisuviricota","Viruses","0"
"11905","Zetaarterivirus ugarco 1","Zetaarterivirus","Arteriviridae","Nidovirales","Pisoniviricetes","Pisuviricota","Viruses","0"
"11906","Enterobacter sp. N18-03635","unclassified Enterobacter","Enterobacter","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria"
"11907","Klebsiella phage YX3973","0","0","0","unclassified Caudoviricetes","Caudoviricetes","Uroviricota","Viruses"
"11908","Paracoccus sp. Arc7-R13","unclassified Paracoccus (in: a-proteobacteria)","Paracoccus","Paracoccaceae","Rhodobacterales","Alphaproteobacteria","Pseudomonadota","Bacteria"
"11909","Pseudorhodobacter turbinis","Pseudorhodobacter","Paracoccaceae","Rhodobacterales","Alphaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"11910","Salmonella sp. SSDFZ54","unclassified Salmonella","Salmonella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria"
"11911","Salmonella sp. SSDFZ69","unclassified Salmonella","Salmonella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria"
"11912","Nocardioides yefusunii","Nocardioides","Nocardioidaceae","Propionibacteriales","Actinomycetes","Actinomycetota","Bacteria","cellular organisms"
"11913","Acetobacter oryzoeni","Acetobacter","Acetobacteraceae","Rhodospirillales","Alphaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"11914","Phietavirus B122","Phietavirus","0","0","Caudoviricetes","Uroviricota","Viruses","0"
"11915","Sclerotinia homoeocarpa hypovirus 1","unclassified Hypovirus","Hypovirus","Hypoviridae","Durnavirales","Duplopiviricetes","Pisuviricota","Viruses"
"11916","Setosphaeria turcica hypovirus 1","unclassified Hypovirus","Hypovirus","Hypoviridae","Durnavirales","Duplopiviricetes","Pisuviricota","Viruses"
"11917","Dyella sp. M7H15-1","unclassified Dyella","Dyella","Rhodanobacteraceae","Lysobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria"
"11918","Alphamesonivirus kadiweuorum","Alphamesonivirus","Mesoniviridae","Nidovirales","Pisoniviricetes","Pisuviricota","Viruses","0"
"11919","Alphamesonivirus ofaieorum","Alphamesonivirus","Mesoniviridae","Nidovirales","Pisoniviricetes","Pisuviricota","Viruses","0"
"11920","Rhinolophus ferrumequinum alphacoronavirus HuB-2013","Alphacoronavirus","Coronaviridae","Nidovirales","Pisoniviricetes","Pisuviricota","Viruses","0"
"11921","Myotis ricketti alphacoronavirus Sax-2011","Alphacoronavirus","Coronaviridae","Nidovirales","Pisoniviricetes","Pisuviricota","Viruses","0"
"11922","Nyctalus velutinus alphacoronavirus SC-2013","Alphacoronavirus","Coronaviridae","Nidovirales","Pisoniviricetes","Pisuviricota","Viruses","0"
"11923","NL63-related bat coronavirus strain BtKYNL63-9b","Alphacoronavirus","Coronaviridae","Nidovirales","Pisoniviricetes","Pisuviricota","Viruses","0"
"11924","Gambievirus bolahunense","Gambievirus","Xinmoviridae","Mononegavirales","Monjiviricetes","Negarnaviricota","Viruses","0"
"11925","Alasvirus muscae","Alasvirus","Xinmoviridae","Mononegavirales","Monjiviricetes","Negarnaviricota","Viruses","0"
"11926","Drunivirus chambonense","Drunivirus","Xinmoviridae","Mononegavirales","Monjiviricetes","Negarnaviricota","Viruses","0"
"11927","Draselvirus dentati","Draselvirus","Xinmoviridae","Mononegavirales","Monjiviricetes","Negarnaviricota","Viruses","0"
"11928","Hoptevirus orthopteris","Hoptevirus","Xinmoviridae","Mononegavirales","Monjiviricetes","Negarnaviricota","Viruses","0"
"11929","Shuangao anphevirus","Anphevirus","Xinmoviridae","Mononegavirales","Monjiviricetes","Negarnaviricota","Viruses","0"
"11930","Sanstrivirus gerridis","Sanstrivirus","Lispiviridae","Mononegavirales","Monjiviricetes","Negarnaviricota","Viruses","0"
"11931","Leocovirus coleopteris","Leocovirus","Lispiviridae","Mononegavirales","Monjiviricetes","Negarnaviricota","Viruses","0"
"11932","Damravirus dentatis","Damravirus","Lispiviridae","Mononegavirales","Monjiviricetes","Negarnaviricota","Viruses","0"
"11933","Ganiavirus tachengense","Ganiavirus","Lispiviridae","Mononegavirales","Monjiviricetes","Negarnaviricota","Viruses","0"
"11934","Nematovirus wuchangense","Nematovirus","Lispiviridae","Mononegavirales","Monjiviricetes","Negarnaviricota","Viruses","0"
"11935","Iotaarterivirus debrazmo","Iotaarterivirus","Arteriviridae","Nidovirales","Pisoniviricetes","Pisuviricota","Viruses","0"
"11936","Iotaarterivirus kibreg 1","Iotaarterivirus","Arteriviridae","Nidovirales","Pisoniviricetes","Pisuviricota","Viruses","0"
"11937","Crustavirus beihaiense","Crustavirus","Nyamiviridae","Mononegavirales","Monjiviricetes","Negarnaviricota","Viruses","0"
"11938","Crustavirus wenlingense","Crustavirus","Nyamiviridae","Mononegavirales","Monjiviricetes","Negarnaviricota","Viruses","0"
"11939","Peropuvirus beihaiense","Peropuvirus","Artoviridae","Mononegavirales","Monjiviricetes","Negarnaviricota","Viruses","0"
"11940","Peropuvirus hubeiense","Peropuvirus","Artoviridae","Mononegavirales","Monjiviricetes","Negarnaviricota","Viruses","0"
"11941","Peropuvirus dentati","Peropuvirus","Artoviridae","Mononegavirales","Monjiviricetes","Negarnaviricota","Viruses","0"
"11942","Peropuvirus juli","Peropuvirus","Artoviridae","Mononegavirales","Monjiviricetes","Negarnaviricota","Viruses","0"
"11943","Peropuvirus lignarii","Peropuvirus","Artoviridae","Mononegavirales","Monjiviricetes","Negarnaviricota","Viruses","0"
"11944","China Rattus coronavirus HKU24","Betacoronavirus","Coronaviridae","Nidovirales","Pisoniviricetes","Pisuviricota","Viruses","0"
"11945","Bat Hp-betacoronavirus Zhejiang2013","Betacoronavirus","Coronaviridae","Nidovirales","Pisoniviricetes","Pisuviricota","Viruses","0"
"11946","Rousettus bat coronavirus GCCDC1","Betacoronavirus","Coronaviridae","Nidovirales","Pisoniviricetes","Pisuviricota","Viruses","0"
"11947","Epsilonarterivirus hemcep","Epsilonarterivirus","Arteriviridae","Nidovirales","Pisoniviricetes","Pisuviricota","Viruses","0"
"11948","Epsilonarterivirus safriver","Epsilonarterivirus","Arteriviridae","Nidovirales","Pisoniviricetes","Pisuviricota","Viruses","0"
"11949","Epsilonarterivirus zamalb","Epsilonarterivirus","Arteriviridae","Nidovirales","Pisoniviricetes","Pisuviricota","Viruses","0"
"11950","Etaarterivirus ugarco 1","Etaarterivirus","Arteriviridae","Nidovirales","Pisoniviricetes","Pisuviricota","Viruses","0"
"11951","Thetaarterivirus kafuba","Thetaarterivirus","Arteriviridae","Nidovirales","Pisoniviricetes","Pisuviricota","Viruses","0"
"11952","Thetaarterivirus mikelba 1","Thetaarterivirus","Arteriviridae","Nidovirales","Pisoniviricetes","Pisuviricota","Viruses","0"
"11953","Salicibibacter halophilus","Salicibibacter","Bacillaceae","Bacillales","Bacilli","Bacillota","Bacteria","cellular organisms"
"11954","Pseudomonas khazarica","Pseudomonas","Pseudomonadaceae","Pseudomonadales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"11955","Campylobacter armoricus","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Campylobacterota","Bacteria","cellular organisms"
"11956","Halorussus pelagicus","Halorussus","Haladaptataceae","Halobacteriales","Halobacteria","Euryarchaeota","Archaea","cellular organisms"
"11957","Pseudomonas viciae","Pseudomonas","Pseudomonadaceae","Pseudomonadales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"11958","Periweissella cryptocerci","Periweissella","Lactobacillaceae","Lactobacillales","Bacilli","Bacillota","Bacteria","cellular organisms"
"11959","Rhizobium rhododendri","Rhizobium","Rhizobium/Agrobacterium group","Rhizobiaceae","Hyphomicrobiales","Alphaproteobacteria","Pseudomonadota","Bacteria"
"11960","Corynebacterium suranareeae","Corynebacterium","Corynebacteriaceae","Mycobacteriales","Actinomycetes","Actinomycetota","Bacteria","cellular organisms"
"11961","Aminipila luticellarii","Aminipila","Anaerovoracaceae","Peptostreptococcales","Clostridia","Bacillota","Bacteria","cellular organisms"
"11962","Acidilutibacter cellobiosedens","Acidilutibacter","Acidilutibacteraceae","Tissierellales","Tissierellia","Bacillota","Bacteria","cellular organisms"
"11963","Turrinivirus 1","Turrinivirus","Medioniviridae","Nidovirales","Pisoniviricetes","Pisuviricota","Viruses","0"
"11964","Crustacean mivirus","Mivirus","Chuviridae","Jingchuvirales","Monjiviricetes","Negarnaviricota","Viruses","0"
"11965","Hermit mivirus","Mivirus","Chuviridae","Jingchuvirales","Monjiviricetes","Negarnaviricota","Viruses","0"
"11966","Xinzhou mivirus","Mivirus","Chuviridae","Jingchuvirales","Monjiviricetes","Negarnaviricota","Viruses","0"
"11967","Yingvirus beihaiense","Yingvirus","Qinviridae","Muvirales","Chunqiuviricetes","Negarnaviricota","Viruses","0"
"11968","Yingvirus charybdis","Yingvirus","Qinviridae","Muvirales","Chunqiuviricetes","Negarnaviricota","Viruses","0"
"11969","Yingvirus hubeiense","Yingvirus","Qinviridae","Muvirales","Chunqiuviricetes","Negarnaviricota","Viruses","0"
"11970","Yingvirus sanxiaense","Yingvirus","Qinviridae","Muvirales","Chunqiuviricetes","Negarnaviricota","Viruses","0"
"11971","Yingvirus shaheense","Yingvirus","Qinviridae","Muvirales","Chunqiuviricetes","Negarnaviricota","Viruses","0"
"11972","Yingvirus wenzhouense","Yingvirus","Qinviridae","Muvirales","Chunqiuviricetes","Negarnaviricota","Viruses","0"
"11973","Yingvirus wuhanense","Yingvirus","Qinviridae","Muvirales","Chunqiuviricetes","Negarnaviricota","Viruses","0"
"11974","Yingvirus xinzhouense","Yingvirus","Qinviridae","Muvirales","Chunqiuviricetes","Negarnaviricota","Viruses","0"
"11975","Cohnella abietis","Cohnella","Paenibacillaceae","Bacillales","Bacilli","Bacillota","Bacteria","cellular organisms"
"11976","Luteimonas sp. YGD11-2","unclassified Luteimonas","Luteimonas","Lysobacteraceae","Lysobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria"
"11977","Escherichia phage vB_EcoS_PTXU06","unclassified Dhillonvirus","0","0","Dhillonvirus","Caudoviricetes","Uroviricota","Viruses"
"11978","Escherichia phage vB_EcoS_WF5505","unclassified Dhillonvirus","0","0","Dhillonvirus","Caudoviricetes","Uroviricota","Viruses"
"11979","Escherichia phage vB_EcoS_WFI","unclassified Dhillonvirus","0","0","Dhillonvirus","Caudoviricetes","Uroviricota","Viruses"
"11980","Planidovirus 1","Alphamononivirus","Mononiviridae","Nidovirales","Pisoniviricetes","Pisuviricota","Viruses","0"
"11981","Charybnivirus 1","Charybnivirus","Euroniviridae","Nidovirales","Pisoniviricetes","Pisuviricota","Viruses","0"
"11982","Decronivirus 1","Charybnivirus","Euroniviridae","Nidovirales","Pisoniviricetes","Pisuviricota","Viruses","0"
"11983","Paguronivirus 1","Paguronivirus","Euroniviridae","Nidovirales","Pisoniviricetes","Pisuviricota","Viruses","0"
"11984","Infratovirus 1","Infratovirus","Tobaniviridae","Nidovirales","Pisoniviricetes","Pisuviricota","Viruses","0"
"11985","Sectovirus 1","Sectovirus","Tobaniviridae","Nidovirales","Pisoniviricetes","Pisuviricota","Viruses","0"
"11986","Yuyuevirus beihaiense","Yuyuevirus","Yueviridae","Goujianvirales","Yunchangviricetes","Negarnaviricota","Viruses","0"
"11987","Yuyuevirus shaheense","Yuyuevirus","Yueviridae","Goujianvirales","Yunchangviricetes","Negarnaviricota","Viruses","0"
"11988","Hubavirus myriapedis","Hubavirus","Mypoviridae","Bunyavirales","Ellioviricetes","Negarnaviricota","Viruses","0"
"11989","Pandoraea commovens","Pandoraea","Burkholderiaceae","Burkholderiales","Betaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"11990","Leisingera sp. NJS201","unclassified Leisingera","Leisingera","Roseobacteraceae","Rhodobacterales","Alphaproteobacteria","Pseudomonadota","Bacteria"
"11991","Leisingera sp. NJS204","unclassified Leisingera","Leisingera","Roseobacteraceae","Rhodobacterales","Alphaproteobacteria","Pseudomonadota","Bacteria"
"11992","Candidatus Thioglobus sp. NP1","unclassified Candidatus Thioglobus","0","0","Candidatus Thioglobus","Gammaproteobacteria","Pseudomonadota","Bacteria"
"11993","Streptomyces roseicoloratus","Streptomyces","Streptomycetaceae","Kitasatosporales","Actinomycetes","Actinomycetota","Bacteria","cellular organisms"
"11994","Candidatus Nitrosopumilus sp. SW","unclassified Nitrosopumilus","Nitrosopumilus","Nitrosopumilaceae","Nitrosopumilales","Nitrososphaeria","Nitrososphaerota","Archaea"
"11995","Ornithinimicrobium sufpigmenti","Ornithinimicrobium","Ornithinimicrobiaceae","Micrococcales","Actinomycetes","Actinomycetota","Bacteria","cellular organisms"
"11996","Ovine picornavirus","0","unclassified Picornaviridae","Picornaviridae","Picornavirales","Pisoniviricetes","Pisuviricota","Viruses"
"11997","Magnaporthe oryzae polymycovirus 1","Polymycovirus","Polymycoviridae","0","0","0","Viruses","0"
"11998","Wumivirus millepedae","Wumivirus","Wupedeviridae","Bunyavirales","Ellioviricetes","Negarnaviricota","Viruses","0"
"11999","Sulfurimonas hydrogeniphila","Sulfurimonas","Sulfurimonadaceae","Campylobacterales","Epsilonproteobacteria","Campylobacterota","Bacteria","cellular organisms"
"12000","Berhavirus beihaiense","Berhavirus","Nyamiviridae","Mononegavirales","Monjiviricetes","Negarnaviricota","Viruses","0"
"12001","Berhavirus radialis","Berhavirus","Nyamiviridae","Mononegavirales","Monjiviricetes","Negarnaviricota","Viruses","0"
"12002","Berhavirus sipunculi","Berhavirus","Nyamiviridae","Mononegavirales","Monjiviricetes","Negarnaviricota","Viruses","0"
"12003","Orinovirus pasiphilae","Orinovirus","Nyamiviridae","Mononegavirales","Monjiviricetes","Negarnaviricota","Viruses","0"
"12004","Tapwovirus cesti","Tapwovirus","Nyamiviridae","Mononegavirales","Monjiviricetes","Negarnaviricota","Viruses","0"
"12005","Botrylloides leachii nidovirus","Bolenivirus","Medioniviridae","Nidovirales","Pisoniviricetes","Pisuviricota","Viruses","0"
"12006","Agromyces protaetiae","Agromyces","Microbacteriaceae","Micrococcales","Actinomycetes","Actinomycetota","Bacteria","cellular organisms"
"12007","Paenibacillus protaetiae","Paenibacillus","Paenibacillaceae","Bacillales","Bacilli","Bacillota","Bacteria","cellular organisms"
"12008","Xylanimonas protaetiae","Xylanimonas","Promicromonosporaceae","Micrococcales","Actinomycetes","Actinomycetota","Bacteria","cellular organisms"
"12009","Microbacterium protaetiae","Microbacterium","Microbacteriaceae","Micrococcales","Actinomycetes","Actinomycetota","Bacteria","cellular organisms"
"12010","Xylanimonas allomyrinae","Xylanimonas","Promicromonosporaceae","Micrococcales","Actinomycetes","Actinomycetota","Bacteria","cellular organisms"
"12011","Rhodoferax sediminis","Rhodoferax","Comamonadaceae","Burkholderiales","Betaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"12012","Escherichia sp. HH091_1A","unclassified Escherichia","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria"
"12013","Escherichia sp. HH154_1D","unclassified Escherichia","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria"
"12014","Escherichia sp. KS167_9B","unclassified Escherichia","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria"
"12015","Ktedonosporobacter rubrisoli","Ktedonosporobacter","Ktedonosporobacteraceae","Ktedonobacterales","Ktedonobacteria","Chloroflexota","Bacteria","cellular organisms"
"12016","Rhizobium phage RHph_N3_8","0","0","0","unclassified Caudoviricetes","Caudoviricetes","Uroviricota","Viruses"
"12017","Cnidium virus X","Potexvirus","Alphaflexiviridae","Tymovirales","Alsuviricetes","Kitrinoviricota","Viruses","0"
"12018","Pseudoalteromonas phage C7","0","0","0","unclassified Caudoviricetes","Caudoviricetes","Uroviricota","Viruses"
"12019","Arthrobacter phage Elesar","0","0","0","unclassified Caudoviricetes","Caudoviricetes","Uroviricota","Viruses"
"12020","Pseudolysobacter antarcticus","Pseudolysobacter","Lysobacteraceae","Lysobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"12021","Pseudomonas sp. REST10","unclassified Pseudomonas","Pseudomonas","Pseudomonadaceae","Pseudomonadales","Gammaproteobacteria","Pseudomonadota","Bacteria"
"12022","Sulfolobus sp. S-194","unclassified Sulfolobus","Sulfolobus","Sulfolobaceae","Sulfolobales","Thermoprotei","Thermoproteota","Archaea"
"12023","Porcine serum associated circular DNA virus 2","0","0","0","0","0","unclassified ssDNA viruses","Viruses"
"12024","Campylobacter sp. CCUG 57310","unclassified Campylobacter","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Campylobacterota","Bacteria"
"12025","Psychrobacter sp. KH172YL61","unclassified Psychrobacter","Psychrobacter","Moraxellaceae","Moraxellales","Gammaproteobacteria","Pseudomonadota","Bacteria"
"12026","Candidatus Borrelia fainii","Borrelia","Borreliaceae","Spirochaetales","Spirochaetia","Spirochaetota","Bacteria","cellular organisms"
"12027","Acidovorax sp. JMULE5","unclassified Acidovorax","Acidovorax","Comamonadaceae","Burkholderiales","Betaproteobacteria","Pseudomonadota","Bacteria"
"12028","Nocardioides euryhalodurans","Nocardioides","Nocardioidaceae","Propionibacteriales","Actinomycetes","Actinomycetota","Bacteria","cellular organisms"
"12029","Nocardioides seonyuensis","Nocardioides","Nocardioidaceae","Propionibacteriales","Actinomycetes","Actinomycetota","Bacteria","cellular organisms"
"12030","Pumpkin polerovirus","Polerovirus","Solemoviridae","Sobelivirales","Pisoniviricetes","Pisuviricota","Viruses","0"
"12031","Pandoraea sp. XY-2","unclassified Pandoraea","Pandoraea","Burkholderiaceae","Burkholderiales","Betaproteobacteria","Pseudomonadota","Bacteria"
"12032","Pseudomonas tructae","Pseudomonas","Pseudomonadaceae","Pseudomonadales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"12033","Oceanispirochaeta crateris","Oceanispirochaeta","Spirochaetaceae","Spirochaetales","Spirochaetia","Spirochaetota","Bacteria","cellular organisms"
"12034","Pseudoalteromonas rhizosphaerae","Pseudoalteromonas","Pseudoalteromonadaceae","Alteromonadales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"12035","Aequoribacter fuscus","Aequoribacter","Halieaceae","Cellvibrionales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"12036","Candidatus Paraluminiphilus aquimaris","Candidatus Paraluminiphilus","Halieaceae","Cellvibrionales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"12037","Spirosoma sp. KCTC 42546","unclassified Spirosoma","Spirosoma","Cytophagaceae","Cytophagales","Cytophagia","Bacteroidota","Bacteria"
"12038","Shewanella maritima","Shewanella","Shewanellaceae","Alteromonadales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"12039","Rhodoferax aquaticus","Rhodoferax","Comamonadaceae","Burkholderiales","Betaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"12040","Polynucleobacter paneuropaeus","Polynucleobacter","Burkholderiaceae","Burkholderiales","Betaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"12041","Halorubrum sp. DM2","unclassified Halorubrum","Halorubrum","Haloferacaceae","Halobacteriales","Halobacteria","Euryarchaeota","Archaea"
"12042","Gimesia aquarii","Gimesia","Planctomycetaceae","Planctomycetales","Planctomycetia","Planctomycetota","Bacteria","cellular organisms"
"12043","Aureliella helgolandensis","Aureliella","Pirellulaceae","Pirellulales","Planctomycetia","Planctomycetota","Bacteria","cellular organisms"
"12044","Gimesia algae","Gimesia","Planctomycetaceae","Planctomycetales","Planctomycetia","Planctomycetota","Bacteria","cellular organisms"
"12045","Aeoliella mucimassa","Aeoliella","Lacipirellulaceae","Pirellulales","Planctomycetia","Planctomycetota","Bacteria","cellular organisms"
"12046","Gimesia alba","Gimesia","Planctomycetaceae","Planctomycetales","Planctomycetia","Planctomycetota","Bacteria","cellular organisms"
"12047","Tautonia plasticadhaerens","Tautonia","Isosphaeraceae","Isosphaerales","Planctomycetia","Planctomycetota","Bacteria","cellular organisms"
"12048","Gimesia fumaroli","Gimesia","Planctomycetaceae","Planctomycetales","Planctomycetia","Planctomycetota","Bacteria","cellular organisms"
"12049","Gimesia panareensis","Gimesia","Planctomycetaceae","Planctomycetales","Planctomycetia","Planctomycetota","Bacteria","cellular organisms"
"12050","Stieleria neptunia","Stieleria","Pirellulaceae","Pirellulales","Planctomycetia","Planctomycetota","Bacteria","cellular organisms"
"12051","Stratiformator vulcanicus","Stratiformator","Planctomycetaceae","Planctomycetales","Planctomycetia","Planctomycetota","Bacteria","cellular organisms"
"12052","Mucisphaera calidilacus","Mucisphaera","Phycisphaeraceae","Phycisphaerales","Phycisphaerae","Planctomycetota","Bacteria","cellular organisms"
"12053","Caulifigura coniformis","Caulifigura","Planctomycetaceae","Planctomycetales","Planctomycetia","Planctomycetota","Bacteria","cellular organisms"
"12054","Bremerella volcania","Bremerella","Pirellulaceae","Pirellulales","Planctomycetia","Planctomycetota","Bacteria","cellular organisms"
"12055","Alienimonas californiensis","Alienimonas","Planctomycetaceae","Planctomycetales","Planctomycetia","Planctomycetota","Bacteria","cellular organisms"
"12056","Rosistilla oblonga","Rosistilla","Pirellulaceae","Pirellulales","Planctomycetia","Planctomycetota","Bacteria","cellular organisms"
"12057","Thalassoglobus polymorphus","Thalassoglobus","Planctomycetaceae","Planctomycetales","Planctomycetia","Planctomycetota","Bacteria","cellular organisms"
"12058","Symmachiella dynata","Symmachiella","Planctomycetaceae","Planctomycetales","Planctomycetia","Planctomycetota","Bacteria","cellular organisms"
"12059","Crateriforma conspicua","Crateriforma","Planctomycetaceae","Planctomycetales","Planctomycetia","Planctomycetota","Bacteria","cellular organisms"
"12060","Stieleria varia","Stieleria","Pirellulaceae","Pirellulales","Planctomycetia","Planctomycetota","Bacteria","cellular organisms"
"12061","Polystyrenella longa","Polystyrenella","Planctomycetaceae","Planctomycetales","Planctomycetia","Planctomycetota","Bacteria","cellular organisms"
"12062","Pirellulimonas nuda","Pirellulimonas","Lacipirellulaceae","Pirellulales","Planctomycetia","Planctomycetota","Bacteria","cellular organisms"
"12063","Lignipirellula cremea","Lignipirellula","Pirellulaceae","Pirellulales","Planctomycetia","Planctomycetota","Bacteria","cellular organisms"
"12064","Rosistilla carotiformis","Rosistilla","Pirellulaceae","Pirellulales","Planctomycetia","Planctomycetota","Bacteria","cellular organisms"
"12065","Planctopirus ephydatiae","Planctopirus","Planctomycetaceae","Planctomycetales","Planctomycetia","Planctomycetota","Bacteria","cellular organisms"
"12066","Poriferisphaera corsica","Poriferisphaera","Phycisphaeraceae","Phycisphaerales","Phycisphaerae","Planctomycetota","Bacteria","cellular organisms"
"12067","Anatilimnocola aggregata","Anatilimnocola","Pirellulaceae","Pirellulales","Planctomycetia","Planctomycetota","Bacteria","cellular organisms"
"12068","Botrimarina mediterranea","Botrimarina","Lacipirellulaceae","Pirellulales","Planctomycetia","Planctomycetota","Bacteria","cellular organisms"
"12069","Urbifossiella limnaea","Urbifossiella","Gemmataceae","Gemmatales","Planctomycetia","Planctomycetota","Bacteria","cellular organisms"
"12070","Lacipirellula limnantheis","Lacipirellula","Lacipirellulaceae","Pirellulales","Planctomycetia","Planctomycetota","Bacteria","cellular organisms"
"12071","Maioricimonas rarisocia","Maioricimonas","Planctomycetaceae","Planctomycetales","Planctomycetia","Planctomycetota","Bacteria","cellular organisms"
"12072","Calycomorphotria hydatis","Calycomorphotria","Planctomycetaceae","Planctomycetales","Planctomycetia","Planctomycetota","Bacteria","cellular organisms"
"12073","Eikenella exigua","Eikenella","Neisseriaceae","Neisseriales","Betaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"12074","Bacteroides sp. A1C1","unclassified Bacteroides","Bacteroides","Bacteroidaceae","Bacteroidales","Bacteroidia","Bacteroidota","Bacteria"
"12075","Zhaonella formicivorans","Zhaonella","Zhaonellaceae","Moorellales","Clostridia","Bacillota","Bacteria","cellular organisms"
