"name"	"taxRank"	"taxID"	"Max"	"C004_R.82_ORC.cladeReads"	"C001_FD2_ARM.cladeReads"	"C001_FD2_ORC.cladeReads"	"C001_FD3_ORC.cladeReads"	"C001_L.3_ORC.cladeReads"	"C001_L.44_ORC.cladeReads"	"C001_L.92_ORC.cladeReads"	"C001_R.1_ORC.cladeReads"	"C001_R.45_ORC.cladeReads"	"C001_R.82_ORC.cladeReads"	"C002_FD2_ORC.cladeReads"	"C002_FD3_ORC.cladeReads"	"C002_L.3_ORC.cladeReads"	"C002_L.44_ORC.cladeReads"	"C002_L.92_ORC.cladeReads"	"C002_R.1_ORC.cladeReads"	"C002_R.45_ORC.cladeReads"	"C002_R.82_ORC.cladeReads"	"C003_FD2_ORC.cladeReads"	"C003_FD3_ORC.cladeReads"	"C003_L.3_ORC.cladeReads"	"C003_L.44_ORC.cladeReads"	"C003_L.92_ORC.cladeReads"	"C003_R.1_ORC.cladeReads"	"C003_R.45_ORC.cladeReads"	"C003_R.82_ORC.cladeReads"	"C004_FD2_ORC.cladeReads"	"C004_FD3_ORC.cladeReads"	"C004_L.3_ORC.cladeReads"	"C004_L.44_ORC.cladeReads"	"C004_L.92_ORC.cladeReads"	"C004_R.1_ORC.cladeReads"	"C004_R.45_ORC.cladeReads"	"lineage"
"Sphingobacterium"	"G"	28453	1730	1573	1730	20	38	101	126	7	178	100	36	34	7	30	44	16	10	6	93	426	542	52	383	8	170	62	230	4	71	10	52	14	17	1	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Sphingobacteriia>Sphingobacteriales>Sphingobacteriaceae"
"unclassified Sphingobacterium"	"-"	2609468	628	375	628	1	35	31	22	1	25	4	29	19	NA	6	4	5	2	NA	11	68	104	5	78	1	55	13	100	NA	5	1	10	1	11	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Sphingobacteriia>Sphingobacteriales>Sphingobacteriaceae>Sphingobacterium"
"Sphingobacterium sp. G1-14"	"S"	2003121	307	307	NA	NA	NA	8	NA	NA	18	NA	3	5	NA	NA	NA	4	NA	NA	NA	NA	9	NA	1	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Sphingobacteriia>Sphingobacteriales>Sphingobacteriaceae>Sphingobacterium>unclassified&nbsp;Sphingobacterium"
"Sphingobacterium sp. UDSM-2020"	"S"	2795738	283	26	283	NA	NA	NA	1	NA	NA	NA	24	NA	NA	NA	3	NA	1	NA	9	NA	10	NA	NA	1	48	6	84	NA	5	NA	NA	NA	11	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Sphingobacteriia>Sphingobacteriales>Sphingobacteriaceae>Sphingobacterium>unclassified&nbsp;Sphingobacterium"
"Sphingobacterium sp. B29"	"S"	1933220	17	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	NA	NA	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Sphingobacteriia>Sphingobacteriales>Sphingobacteriaceae>Sphingobacterium>unclassified&nbsp;Sphingobacterium"
"Sphingobacterium sp."	"S"	341027	8	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Sphingobacteriia>Sphingobacteriales>Sphingobacteriaceae>Sphingobacterium>unclassified&nbsp;Sphingobacterium"
"Sphingobacterium sp. UGAL515B_05"	"S"	2986767	38	8	NA	NA	NA	3	NA	NA	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	38	NA	23	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Sphingobacteriia>Sphingobacteriales>Sphingobacteriaceae>Sphingobacterium>unclassified&nbsp;Sphingobacterium"
"Sphingobacterium sp. SRCM116780"	"S"	2907623	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Sphingobacteriia>Sphingobacteriales>Sphingobacteriaceae>Sphingobacterium>unclassified&nbsp;Sphingobacterium"
"Sphingobacterium multivorum"	"S"	28454	201	158	NA	NA	NA	2	30	1	17	5	1	NA	NA	7	2	2	NA	1	NA	13	201	22	80	4	NA	20	5	NA	4	NA	3	2	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Sphingobacteriia>Sphingobacteriales>Sphingobacteriaceae>Sphingobacterium"
"Sphingobacterium thalpophilum"	"S"	259	44	44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	2	8	15	NA	NA	NA	NA	NA	15	NA	NA	NA	NA	3	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Sphingobacteriia>Sphingobacteriales>Sphingobacteriaceae>Sphingobacterium"
"Sphingobacterium paramultivorum"	"S"	2886510	11	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Sphingobacteriia>Sphingobacteriales>Sphingobacteriaceae>Sphingobacterium"
"Sphingobacterium faecium"	"S"	34087	19	9	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	7	5	NA	NA	NA	NA	NA	NA	19	NA	NA	NA	7	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Sphingobacteriia>Sphingobacteriales>Sphingobacteriaceae>Sphingobacterium"
"Sphingobacterium spiritivorum"	"S"	258	341	4	341	NA	NA	NA	NA	2	NA	1	4	2	NA	1	NA	NA	NA	NA	NA	NA	1	12	13	NA	NA	NA	27	NA	NA	NA	6	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Sphingobacteriia>Sphingobacteriales>Sphingobacteriaceae>Sphingobacterium"
"Pedobacter"	"G"	84567	6613	272	6613	3	82	39	164	4	70	2	32	40	1	6	9	4	12	3	26	26	9	38	57	5	110	76	213	18	17	4	16	NA	46	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Sphingobacteriia>Sphingobacteriales>Sphingobacteriaceae"
"unclassified Pedobacter"	"-"	2628915	533	166	533	NA	NA	13	21	NA	35	NA	6	12	1	1	4	NA	4	1	8	12	4	14	34	NA	62	15	59	6	2	NA	6	NA	15	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Sphingobacteriia>Sphingobacteriales>Sphingobacteriaceae>Pedobacter"
"Pedobacter sp. SL55"	"S"	2995161	146	146	1	NA	NA	7	NA	NA	6	NA	2	NA	1	NA	1	NA	1	1	3	NA	4	14	NA	NA	62	12	9	1	NA	NA	3	NA	8	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Sphingobacteriia>Sphingobacteriales>Sphingobacteriaceae>Pedobacter>unclassified&nbsp;Pedobacter"
"Pedobacter sp. KBS0701"	"S"	2578106	353	5	353	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Sphingobacteriia>Sphingobacteriales>Sphingobacteriaceae>Pedobacter>unclassified&nbsp;Pedobacter"
"Pedobacter sp. HDW13"	"S"	2714940	13	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	13	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Sphingobacteriia>Sphingobacteriales>Sphingobacteriaceae>Pedobacter>unclassified&nbsp;Pedobacter"
"Pedobacter sp. G11"	"S"	2482728	34	4	NA	NA	NA	3	NA	NA	NA	NA	4	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	34	NA	NA	3	NA	5	2	NA	NA	NA	3	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Sphingobacteriia>Sphingobacteriales>Sphingobacteriaceae>Pedobacter>unclassified&nbsp;Pedobacter"
"Pedobacter sp. PACM 27299"	"S"	1727164	37	3	19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	2	NA	2	9	NA	NA	NA	NA	NA	NA	37	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Sphingobacteriia>Sphingobacteriales>Sphingobacteriaceae>Pedobacter>unclassified&nbsp;Pedobacter"
"Pedobacter sp. FW305-3-2-15-E-R2A2"	"S"	3140251	160	3	160	NA	NA	NA	21	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Sphingobacteriia>Sphingobacteriales>Sphingobacteriaceae>Pedobacter>unclassified&nbsp;Pedobacter"
"Pedobacter suwonensis"	"S"	332999	483	16	483	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Sphingobacteriia>Sphingobacteriales>Sphingobacteriaceae>Pedobacter"
"Pedobacter gandavensis"	"S"	2679963	64	12	2	NA	8	NA	64	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	NA	43	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Sphingobacteriia>Sphingobacteriales>Sphingobacteriaceae>Pedobacter"
"Pedobacter cryoconitis"	"S"	188932	1040	10	1040	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	3	1	NA	NA	2	1	NA	19	NA	NA	NA	NA	24	3	NA	NA	4	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Sphingobacteriia>Sphingobacteriales>Sphingobacteriaceae>Pedobacter"
"Pedobacter schmidteae"	"S"	2201271	27	3	1	NA	NA	NA	NA	NA	23	NA	NA	1	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	27	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Sphingobacteriia>Sphingobacteriales>Sphingobacteriaceae>Pedobacter"
"Mucilaginibacter"	"G"	423349	972	165	972	9	113	45	96	3	26	5	18	32	13	20	8	2	5	11	10	8	11	50	86	2	83	91	45	11	7	4	32	6	24	1	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Sphingobacteriia>Sphingobacteriales>Sphingobacteriaceae"
"unclassified Mucilaginibacter"	"-"	2617802	323	36	323	3	25	10	NA	NA	NA	NA	NA	9	NA	NA	1	2	NA	NA	1	NA	NA	1	8	NA	31	35	37	1	NA	NA	NA	1	3	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Sphingobacteriia>Sphingobacteriales>Sphingobacteriaceae>Mucilaginibacter"
"Mucilaginibacter sp. PAMB04274"	"S"	3138568	17	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Sphingobacteriia>Sphingobacteriales>Sphingobacteriaceae>Mucilaginibacter>unclassified&nbsp;Mucilaginibacter"
"Mucilaginibacter sp. SMC90"	"S"	2929803	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Sphingobacteriia>Sphingobacteriales>Sphingobacteriaceae>Mucilaginibacter>unclassified&nbsp;Mucilaginibacter"
"Mucilaginibacter sp. 5C4"	"S"	3048589	17	2	NA	NA	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Sphingobacteriia>Sphingobacteriales>Sphingobacteriaceae>Mucilaginibacter>unclassified&nbsp;Mucilaginibacter"
"Mucilaginibacter jinjuensis"	"S"	1176721	37	11	NA	NA	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	NA	NA	37	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Sphingobacteriia>Sphingobacteriales>Sphingobacteriaceae>Mucilaginibacter"
"Mucilaginibacter mallensis"	"S"	652787	6	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Sphingobacteriia>Sphingobacteriales>Sphingobacteriaceae>Mucilaginibacter"
"Mucilaginibacter gotjawali"	"S"	1550579	6	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Sphingobacteriia>Sphingobacteriales>Sphingobacteriaceae>Mucilaginibacter"
"Mucilaginibacter rubeus"	"S"	2027860	21	3	NA	6	11	4	9	2	11	4	6	1	7	17	3	NA	3	4	1	3	3	5	1	2	5	8	8	9	2	4	21	1	6	1	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Sphingobacteriia>Sphingobacteriales>Sphingobacteriaceae>Mucilaginibacter"
"Mucilaginibacter mali"	"S"	2740462	4	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Sphingobacteriia>Sphingobacteriales>Sphingobacteriaceae>Mucilaginibacter"
"Mucilaginibacter gossypii"	"S"	551996	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	2	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Sphingobacteriia>Sphingobacteriales>Sphingobacteriaceae>Mucilaginibacter"
"Olivibacter><wbr>unclassified Olivibacter"	"-"	2632301	181	3	181	NA	NA	11	NA	NA	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	2	NA	2	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Sphingobacteriia>Sphingobacteriales>Sphingobacteriaceae>Olivibacter"
"Olivibacter sp. SDN3"	"S"	2764720	8	3	NA	NA	NA	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	2	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Sphingobacteriia>Sphingobacteriales>Sphingobacteriaceae>Olivibacter>unclassified&nbsp;Olivibacter"
"Pseudopedobacter><wbr>Pseudopedobacter saltans><wbr>Pseudopedobacter saltans DSM 12145"	"-"	762903	52	2	NA	3	52	2	NA	3	10	9	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Sphingobacteriia>Sphingobacteriales>Sphingobacteriaceae>Pseudopedobacter>Pseudopedobacter&nbsp;saltans"
"Solitalea"	"G"	929509	10	1	NA	3	NA	10	NA	NA	1	1	NA	NA	3	NA	NA	NA	1	2	NA	NA	NA	1	NA	NA	NA	8	NA	NA	NA	1	4	NA	8	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Sphingobacteriia>Sphingobacteriales>Sphingobacteriaceae"
"Solitalea lacus"	"S"	2911172	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	2	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Sphingobacteriia>Sphingobacteriales>Sphingobacteriaceae>Solitalea"
"Aurantibacillaceae><wbr>Aurantibacillus><wbr>Aurantibacillus circumpalustris"	"S"	3036359	384	13	132	29	276	6	384	23	142	10	110	16	2	1	4	NA	2	14	25	13	2	3	33	7	18	144	56	2	NA	1	NA	NA	9	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Sphingobacteriia>Sphingobacteriales>Aurantibacillaceae>Aurantibacillus"
"Cytophagia><wbr>Cytophagales"	"O"	768507	32691	1708	11998	2060	32691	1007	6775	673	6812	784	2215	1303	896	3662	363	44	712	1324	952	1109	821	1068	2619	274	4714	8324	14152	970	1112	412	2398	163	951	56	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Cytophagia"
"Hymenobacteraceae"	"F"	1853232	25076	711	5804	64	25076	299	513	27	542	19	109	234	39	69	33	14	28	25	65	96	57	152	909	17	789	2137	5535	174	108	37	195	48	310	8	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Cytophagia>Cytophagales"
"Hymenobacter"	"G"	89966	5376	643	5376	44	736	241	269	15	402	13	95	170	32	50	27	10	16	13	58	58	38	88	539	10	480	1944	2330	148	92	16	106	37	249	6	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Cytophagia>Cytophagales>Hymenobacteraceae"
"unclassified Hymenobacter"	"-"	2615202	1048	221	1048	7	64	70	44	6	65	1	12	51	13	15	3	1	3	3	7	19	21	26	72	3	126	219	216	10	11	1	19	9	81	3	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Cytophagia>Cytophagales>Hymenobacteraceae>Hymenobacter"
"Hymenobacter sp. DG01"	"S"	2584940	338	71	338	NA	NA	NA	NA	3	NA	NA	NA	3	3	NA	NA	NA	2	2	2	17	7	10	NA	NA	NA	48	15	NA	4	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Cytophagia>Cytophagales>Hymenobacteraceae>Hymenobacter>unclassified&nbsp;Hymenobacter"
"Hymenobacter sp. BRD128"	"S"	2675878	239	28	239	NA	11	3	20	NA	NA	NA	1	3	NA	7	NA	NA	NA	1	NA	NA	1	12	NA	NA	NA	15	90	NA	NA	NA	5	NA	12	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Cytophagia>Cytophagales>Hymenobacteraceae>Hymenobacter>unclassified&nbsp;Hymenobacter"
"Hymenobacter sp. YIM 151500-1"	"S"	2987689	41	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	2	3	4	NA	NA	NA	19	41	NA	NA	NA	NA	1	25	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Cytophagia>Cytophagales>Hymenobacteraceae>Hymenobacter>unclassified&nbsp;Hymenobacter"
"Hymenobacter sp. APR13"	"S"	1356852	12	12	NA	NA	NA	3	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Cytophagia>Cytophagales>Hymenobacteraceae>Hymenobacter>unclassified&nbsp;Hymenobacter"
"Hymenobacter sp. BRD67"	"S"	2675877	33	10	NA	NA	NA	9	23	NA	33	NA	NA	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	NA	4	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Cytophagia>Cytophagales>Hymenobacteraceae>Hymenobacter>unclassified&nbsp;Hymenobacter"
"Hymenobacter sp. 5317J-9"	"S"	2932250	256	9	256	3	NA	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	22	NA	NA	3	NA	NA	NA	1	NA	6	19	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Cytophagia>Cytophagales>Hymenobacteraceae>Hymenobacter>unclassified&nbsp;Hymenobacter"
"Hymenobacter sp. 5516J-16"	"S"	2932253	9	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Cytophagia>Cytophagales>Hymenobacteraceae>Hymenobacter>unclassified&nbsp;Hymenobacter"
"Hymenobacter sp. GOD-10R"	"S"	3093922	47	8	NA	2	NA	10	NA	NA	13	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	47	NA	NA	18	NA	8	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Cytophagia>Cytophagales>Hymenobacteraceae>Hymenobacter>unclassified&nbsp;Hymenobacter"
"Hymenobacter sp. NBH84"	"S"	2596915	28	5	NA	NA	NA	28	NA	1	NA	NA	NA	23	NA	NA	NA	NA	NA	NA	1	NA	3	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	2	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Cytophagia>Cytophagales>Hymenobacteraceae>Hymenobacter>unclassified&nbsp;Hymenobacter"
"Hymenobacter sp. BT18"	"S"	2835648	43	5	NA	1	NA	3	1	NA	NA	1	2	NA	1	NA	1	NA	1	NA	1	NA	2	NA	NA	NA	24	43	33	NA	1	NA	NA	NA	NA	3	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Cytophagia>Cytophagales>Hymenobacteraceae>Hymenobacter>unclassified&nbsp;Hymenobacter"
"Hymenobacter sp. PAMC 26628"	"S"	1484118	9	3	3	1	8	NA	NA	1	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	NA	NA	NA	NA	9	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Cytophagia>Cytophagales>Hymenobacteraceae>Hymenobacter>unclassified&nbsp;Hymenobacter"
"Hymenobacter sp. DG25B"	"S"	1385664	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	1	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Cytophagia>Cytophagales>Hymenobacteraceae>Hymenobacter>unclassified&nbsp;Hymenobacter"
"Hymenobacter monticola"	"S"	1705399	64	26	NA	2	42	5	45	1	31	1	5	3	NA	NA	3	NA	1	1	9	NA	NA	7	64	NA	NA	16	22	3	1	2	NA	4	7	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Cytophagia>Cytophagales>Hymenobacteraceae>Hymenobacter"
